exception,exit_code,init_ms,mode,num_points,num_terms,scale,scheme,status,storage_bytes,weights_head
"numpy._core._exceptions._ArrayMemoryError: Unable to allocate 2.01 EiB for an array with shape (46252743903616536, 50) and data type uint8",1,,,,,1.0,none,failed,,
,0,40843.48187799333,batched,307490398,629650,1.0,log2,ok,903325024,"[1, 2, 2, 3, 3, 3, 3, 4, 4, 4]"
,0,895.4595480172429,indexed,790700,14580,1.5,log2,ok,105940912,"[2, 3, 3, 4, 4, 5, 5, 5, 5, 6]"
,0,218.2704750157427,points,67691,2201,2.0,log2,ok,30733608,"[2, 4, 4, 5, 6, 6, 6, 7, 7, 7]"
,0,41852.96434399788,batched,461365128,665168,1.0,sqrt,ok,953334368,"[1, 2, 2, 2, 3, 3, 3, 3, 3, 4]"
,0,1144.778378016781,indexed,1203456,16358,1.5,sqrt,ok,153021984,"[2, 3, 3, 3, 4, 4, 4, 5, 5, 5]"
,0,402.8961040021386,points,140714,3006,2.0,sqrt,ok,61660432,"[2, 3, 4, 4, 5, 5, 6, 6, 6, 7]"
,0,1442.6565970061347,batched,5238345,2087,1.0,linear,ok,19716320,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]"
,0,167.71928197704256,points,22706,366,1.25,linear,ok,9796048,"[2, 3, 4, 5, 7, 8, 9, 10, 12, 13]"
,0,96.57540899934247,points,13235,225,1.5,linear,ok,5733352,"[2, 3, 5, 6, 8, 9, 11, 12, 14, 15]"
,0,89.12495500408113,points,4373,97,2.0,linear,ok,1937432,"[2, 4, 6, 8, 10, 12, 14, 16, 18, 20]"
,0,76.2402729887981,points,438,30,3.0,linear,ok,223184,"[3, 6, 9, 12, 15, 18, 21, 24, 27, 30]"
